# of comparisons,AOD,EOD,# of comparisons,AOD,EOD
1000,0.0713137830736515,0.09246309246309248,COMP,0.276127877960356,0.10237676469017543
1000,0.026914413530845588,0.01642441860465116,COMP,0.13910715069575527,-0.006475738140059334
1000,0.058398345239712934,0.09177489177489176,COMP,0.1826257125840211,0.14764066302229423
1000,0.05651957337083921,0.0625,COMP,0.2317199833818031,0.14534206181378612
1000,-0.002511122237909197,-0.06437969924812031,COMP,0.14388973301497726,-0.08615535225018803
1000,0.011610363540746321,-0.03840245775729645,COMP,0.15998801358867656,-0.046445547541259596
1000,0.04065068271533037,0.03758169934640526,COMP,0.2145766693322671,0.0315559863115841
1000,-0.06616373906911321,-0.19563862928348913,COMP,0.07353599112987148,-0.20233431501269045
1000,0.06061555403660668,0.057017543859649134,COMP,0.3180973266688223,0.07943225000654638
1000,0.0033609065467472277,-0.03059829059829061,COMP,0.13396393733372744,-0.013332717177133496
AVG,0.02607087607474574,0.002874256916149326,AVG,0.18736323956902776,0.015160405572305542
STD,0.03933793354123598,0.08399944032701759,STD,0.06962558800542831,0.104474289215866
ALL,0.04455813269651873,0.0377426949357903,ALL,0.04455813269651873,0.0377426949357903
