# of comparisons,AOD,EOD
COMP,0.040999679283395346,0.03814697669517998
COMP,0.05476401954055475,0.020852458091171124
COMP,0.011036180732611717,0.0021584661488679487
COMP,0.07871663401281143,0.05073515233697917
COMP,0.04557827975098645,0.04387395563723499
COMP,0.041375865368379595,0.028292601065505393
COMP,0.024171849384579364,0.038146799944895754
COMP,0.04896162260079388,0.02780484938922615
COMP,0.06135868616224464,0.03688604082198244
COMP,0.046978169362826006,0.016895110407028523
COMP,0.04868531322019695,0.03295405338695842
COMP,0.03652523595012384,0.010956507301896738
COMP,0.04864930921814298,0.0384117226882065
COMP,0.06482832752722593,0.05713819945287482
COMP,0.05370413242273409,0.024716031981281257
COMP,0.044679500655446625,0.03590416478529051
COMP,0.03514344262295081,0.011394264320294192
COMP,0.0503917358617239,0.034283846269623414
COMP,0.04477052727042162,0.04417903598213897
COMP,0.02598518329650405,0.02700044790024634
AVG,0.04536518471223269,0.031036534230344144
STD,0.014472568869792344,0.013482161187168096
ALL,0.04326241806788095,0.0369657759564328
