weight_formula, fairness_lambda, Acc_lr            , Acc_unweight      , Acc_weighted      , Acc_fairreg       , F1_lr              , F1_unweight       , F1_weighted       , F1_fairreg        , AOD_lr                 , AOD_unweight       , AOD_weighted       , AOD_fairreg        , EOD_lr               , EOD_unweight       , EOD_weighted         , EOD_fairreg        , I_sep_lr             , I_sep_bi           , I_sep_weighted_bi   , I_sep_fairreg_bi   , violate_r, violate_r_weighted, violate_r_fairreg, violate_comp_r, violate_comp_r_w, violate_comp_r_fairreg
eq15          ,             0.1, 0.7908097828490558, 0.7116890009287515, 0.7680332581486887, 0.72146300473221  , 0.39062097397577944, 0.5954198473282443, 0.6407288170422631, 0.6118096646942801, 0.0008251190139741682  , 0.33427912176019875, 0.06215131349309633, 0.29466085940490094, -0.007446174346027068, 0.2597920611543587 , -0.006404726839189245, 0.2064625850340136 , 5.934552303092085e-05, 0.08559229986952   , 0.007209473460405633, 0.07435491857413405,       1.0,                1.0,               1.0,            1.0,              1.0,                    1.0
eq15          ,             0.1, 0.7938171686347353, 0.7067798858962452, 0.7292910530272876, 0.720666932024236 , 0.3787313432835821 , 0.5912957711749476, 0.6209202947916022, 0.6007585335018963, -0.01776353411974607   , 0.3387747244693945 , 0.13511253321964378, 0.324163841592904  , -0.04028912691424544 , 0.27212184890153024, 0.05595862734380075  , 0.2725134620116624 , 6.607271907241699e-06, 0.08491003119823175, 0.02063758732242234 , 0.07497376918618738,       1.0,                1.0,               1.0,            1.0,              1.0,                    1.0
eq15          ,             0.1, 0.7772765468134979, 0.7111582857901022, 0.7590111007916501, 0.715094423068418 , 0.43057440072365444, 0.5971254086731231, 0.640448696799736 , 0.5994279318492725, 0.08857931640819791    , 0.33752574135650387, 0.09913546326533917, 0.33497550506056906, 0.08239938933703006  , 0.2823315862231611 , 0.034965964334982225 , 0.28643360212137237, 0.008472907565794507 , 0.08041204368546004, 0.012128874102487213, 0.07755136841029847,       1.0,                1.0,               1.0,            1.0,              1.0,                    1.0
eq15          ,             0.1, 0.7886869222944585, 0.7229224713634956, 0.7240281279023484, 0.7340674892751315, 0.3924211597151577 , 0.6059004843681197, 0.620253164556962 , 0.6143287794240266, -0.010362326094982777  , 0.32896691511972004, 0.07101916658577234, 0.3099026347903567 , -0.027511975910486375, 0.2902827134842383 , 0.00175442124984726  , 0.2788931571898524 , 4.119556391880389e-06, 0.07228392678422149, 0.007910187891307487, 0.06338992621980823,       1.0,                1.0,               1.0,            1.0,              1.0,                    1.0
eq15          ,             0.1, 0.7946574676042634, 0.7134580513909159, 0.6846667551191897, 0.7323868913360754, 0.3914012321405165 , 0.5930532001758684, 0.5881945246621232, 0.6112431737873434, -0.0031601537451884376 , 0.32791533824793756, 0.14618831146721223, 0.2974883898207734 , -0.015575322457243967, 0.2632075447395741 , 0.060224219520802924 , 0.23827626091279808, 4.378322003754317e-05, 0.08041943173441136, 0.023341579314521216, 0.06805921061913221,       1.0,                1.0,               1.0,            1.0,              1.0,                    1.0
eq15          ,             0.1, 0.7927115120958825, 0.7282296227499889, 0.7101853080359117, 0.724647295564106 , 0.39248217757615034, 0.6084241381507679, 0.6129127532636305, 0.6050494798274549, -0.00313231402598263   , 0.3226423778219938 , 0.1600385571556202 , 0.32358431103314755, -0.010665224386005256, 0.2834612831101533 , 0.07677136986002675  , 0.28383647324282824, 6.550551396636793e-06, 0.07088333565718964, 0.026677773267499406, 0.07091170982845586,       1.0,                1.0,               1.0,            1.0,              1.0,                    1.0
eq15          ,             0.1, 0.7907213303259476, 0.7211534209013312, 0.7231878289328203, 0.7231436026712662, 0.3875226507895418 , 0.6026343984370076, 0.6187952981302149, 0.6038977474057201, -0.004181707740979507  , 0.32366956480759723, 0.14586406873086077, 0.32203231256517817, -0.01756013954809138 , 0.2659232891160602 , 0.06419110786580673  , 0.2682751206847592 , 3.713189042046391e-05, 0.07660767760400586, 0.02337899466646174 , 0.0748434542025303 ,       1.0,                1.0,               1.0,            1.0,              1.0,                    1.0
eq15          ,             0.1, 0.7892176374331078, 0.7107160231745611, 0.7280527177037724, 0.7332714165671576, 0.38423772609819123, 0.597204261346142 , 0.6209702274548481, 0.6165681225761332, -0.013078872120189183  , 0.3424850535718988 , 0.12305961108597296, 0.30511961402165194, -0.03105120953950974 , 0.2768046792125397 , 0.05138501494395464  , 0.25290204598895916, 3.899802905031526e-07, 0.08629989564868476, 0.016798373916793983, 0.06836154366918355,       1.0,                1.0,               1.0,            1.0,              1.0,                    1.0
eq15          ,             0.1, 0.7911193666799345, 0.7269912874264738, 0.7231878289328203, 0.7288045641501923, 0.3934763066649544 , 0.6057858100772718, 0.6159887109638628, 0.6066709429121232, -0.005943862274122108  , 0.3055817598791411 , 0.07507471335083515, 0.3000144668266621 , -0.023814843400901786, 0.25382763943616204, 0.017258398667587382 , 0.250898769143275  , 5.872851922120548e-05, 0.06706584028086257, 0.007360913765500437, 0.06416898295284079,       1.0,                1.0,               1.0,            1.0,              1.0,                    1.0
eq15          ,             0.1, 0.788510017248242 , 0.7265047985493787, 0.7179691300694352, 0.7261509884569457, 0.3792834890965732 , 0.610284850012604 , 0.6225510506066884, 0.6114457831325302, -0.00012329336597566298, 0.31347278189384653, 0.1796933490153113 , 0.3226991246456072 , -0.009366075097307802, 0.26132859378444584, 0.09802941220252692  , 0.26885661297262475, 5.746712122819581e-05, 0.07022309792647399, 0.03161583729360357 , 0.0749223417781495 ,       1.0,                1.0,               1.0,            1.0,              1.0,                    1.0
