weight_formula,fairness_lambda,Acc_lr,Acc_unweight,Acc_weighted,Acc_fairreg,F1_lr,F1_unweight,F1_weighted,F1_fairreg,AOD_lr,AOD_unweight,AOD_weighted,AOD_fairreg,EOD_lr,EOD_unweight,EOD_weighted,EOD_fairreg,I_sep_lr,I_sep_bi,I_sep_weighted_bi,I_sep_fairreg_bi,violate_r,violate_r_weighted,violate_r_fairreg,violate_comp_r,violate_comp_r_w,violate_comp_r_fairreg
eq15,0.1,0.675,0.6,0.615,,0.7735191637630662,0.6610169491525424,0.6778242677824268,,0.26310082315418926,0.04629470331599683,0.0270590985888155,,0.13804375157153637,0.11013326628111642,0.07166205682675375,,0.03050821563506076,0.002061960816463682,0.0007987107395545209,,0.09,0.08,,0.6,0.59,
eq15,0.1,0.67,0.61,0.61,,0.7676056338028169,0.6666666666666666,0.6666666666666666,,0.22374208304011256,-0.028114004222378586,-0.028114004222378586,,0.07248416608022523,-0.15622800844475715,-0.15622800844475715,,0.01858739566584314,0.0026551350549404696,0.0026551350549404696,,0.27,0.27,,0.6,0.6,
eq15,0.1,0.745,0.69,0.67,,0.8401253918495298,0.7651515151515151,0.7441860465116279,,0.13701527280985637,-0.010397149832510055,-0.031798752544792364,,0.12783171521035597,0.04207119741100329,0.027045769764216354,,0.018127582932900732,6.1989418036891e-05,2.747695073508655e-05,,0.08,0.1,,0.62,0.59,
eq15,0.1,0.735,0.68,0.685,,0.8262295081967214,0.7480314960629921,0.7529411764705882,,0.3077855349118235,-0.12489851214078024,-0.11974387296552252,,0.20897766323024058,-0.07946735395189009,-0.06915807560137466,,0.04889187351380097,0.00498116656319842,0.004262441479026702,,0.11,0.12,,0.77,0.78,
eq15,0.1,0.79,0.615,0.62,,0.8590604026845637,0.6637554585152838,0.6779661016949152,,0.23023211343018313,-0.023934904753066644,-0.07680159279194165,,0.024566790962930463,-0.13248519412151788,-0.12283395481465242,,0.01861948965249096,0.002301587767133137,0.004565573878252828,,0.18,0.13,,0.52,0.51,
eq15,0.1,0.725,0.67,0.67,,0.8122866894197952,0.7155172413793104,0.7155172413793104,,0.118126838836221,-0.008631633431404606,-0.008631633431404606,,0.04060150375939853,0.013533834586466176,0.013533834586466176,,0.007848515523234435,5.371106374944792e-06,5.371106374944792e-06,,0.04,0.04,,0.75,0.75,
eq15,0.1,0.755,0.665,0.675,,0.8382838283828383,0.7372549019607844,0.7450980392156863,,0.16489371391100016,0.050969052259604075,0.019543161077615334,,0.17594127397584658,0.09424579682690037,0.06985555292446133,,0.021947781060904833,0.002146817554269756,0.0006938400959459742,,0.09,0.03,,0.64,0.64,
eq15,0.1,0.73,0.62,0.64,,0.8269230769230769,0.7007874015748031,0.7272727272727273,,0.23567890442890438,-0.04385198135198137,-0.058901515151515205,,0.11378205128205121,0.0032051282051281937,-0.02083333333333337,,0.0213910184457344,0.0001731011161857483,0.0007144253720158638,,0.06,0.07,,0.67,0.7,
eq15,0.1,0.725,0.57,0.58,,0.8184818481848185,0.6475409836065574,0.6585365853658537,,0.12292323550812512,-0.1083252486053845,-0.0975725604333414,,0.13306451612903225,-0.034946236559139865,-0.013440860215053752,,0.012961851216680332,0.0028782575084679457,0.001892158666159875,,0.14,0.14,,0.46,0.48,
eq15,0.1,0.76,0.66,0.65,,0.8451612903225807,0.7258064516129032,0.717741935483871,,0.06969873775557156,-0.09683062421931499,-0.08592260535139046,,0.08582604693971474,-0.06419696272434428,-0.07363092498849522,,0.004567066387735506,0.0034113622421795796,0.0031318058989454616,,0.08,0.08,,0.6,0.6,
