weight_formula, fairness_lambda, Acc_lr            , Acc_unweight      , Acc_weighted      , Acc_fairreg, F1_lr             , F1_unweight       , F1_weighted       , F1_fairreg, AOD_lr              , AOD_unweight         , AOD_weighted        , AOD_fairreg, EOD_lr               , EOD_unweight        , EOD_weighted        , EOD_fairreg, I_sep_lr              , I_sep_bi             , I_sep_weighted_bi     , I_sep_fairreg_bi, violate_r, violate_r_weighted, violate_r_fairreg, violate_comp_r, violate_comp_r_w, violate_comp_r_fairreg
eq15          ,             0.1, 0.8852459016393442, 0.8360655737704918, 0.8524590163934426,            , 0.8923076923076924, 0.8387096774193549, 0.8524590163934426,           , 0.04274509803921567 , 0.13098039215686275  , 0.11098039215686278 ,            , -0.07450980392156858 , 0.10196078431372557 , 0.10196078431372557 ,            , 1.2542380113420997e-05, 0.00988967779736633  , 0.008782640872636643  ,                 ,      0.38,               0.3 ,                  ,           0.8 ,             0.81, 
eq15          ,             0.1, 0.7540983606557377, 0.6721311475409836, 0.7377049180327869,            , 0.7692307692307693, 0.6296296296296297, 0.7575757575757576,           , -0.1435185185185185 , -0.18121693121693128 , -0.03273809523809523,            , -0.25                , -0.2142857142857143 , -0.06547619047619047,            , 0.011840648101838257  , 0.012177806432475773 , 0.0006743765826554212 ,                 ,      0.59,               0.59,                  ,           0.79,             0.8 , 
eq15          ,             0.1, 0.7704918032786885, 0.6885245901639344, 0.7540983606557377,            , 0.7878787878787878, 0.6415094339622641, 0.7368421052631579,           , -0.11956521739130432, 0.0068840579710145455, 0.14528985507246372 ,            , -0.16666666666666663 , 0.050000000000000044, 0.11666666666666659 ,            , 0.009820341642918114  , 0.0001466421578763639, 0.01120887769276362   ,                 ,      0.08,               0.25,                  ,           0.69,             0.7 , 
eq15          ,             0.1, 0.7704918032786885, 0.7540983606557377, 0.8360655737704918,            , 0.8157894736842105, 0.8               , 0.875             ,           , -0.31280193236714976, -0.17557367149758457 , -0.11986714975845414,            , -0.34782608695652173 , -0.07336956521739135, 0.03804347826086951 ,            , 0.06900142609202842   , 0.009020162546426416 , 0.0014992708700253508 ,                 ,      0.38,               0.31,                  ,           0.83,             0.89, 
eq15          ,             0.1, 0.8688524590163934, 0.7868852459016393, 0.7704918032786885,            , 0.8823529411764706, 0.7868852459016393, 0.7941176470588235,           , -0.08750000000000002, -0.10749999999999998 , 0.003750000000000031,            , -0.125               , -0.125              , -0.0625             ,            , 0.009132746141511758  , 0.007452195006755255 , 0.00028026906563436717,                 ,      0.26,               0.47,                  ,           0.88,             0.85, 
eq15          ,             0.1, 0.8524590163934426, 0.819672131147541 , 0.7868852459016393,            , 0.88              , 0.8571428571428571, 0.821917808219178 ,           , -0.13216374269005848, 0.026023391812865393 , 0.07470760233918128 ,            , -0.17222222222222217 , 0.03888888888888886 , 0.18888888888888888 ,            , 0.019556422862409266  , 0.0007569659117842578, 0.010641588745972066  ,                 ,      0.28,               0.38,                  ,           0.84,             0.85, 
eq15          ,             0.1, 0.8360655737704918, 0.7213114754098361, 0.8032786885245902,            , 0.8648648648648649, 0.7384615384615385, 0.8285714285714286,           , -0.24166666666666664, 0.09444444444444444  , 0.008333333333333304,            , -0.30000000000000004 , 0.03888888888888886 , -0.13333333333333341,            , 0.05781026213741775   , 0.0020902701791501934, 0.00333022720281445   ,                 ,      0.17,               0.24,                  ,           0.72,             0.79, 
eq15          ,             0.1, 0.8524590163934426, 0.7377049180327869, 0.7540983606557377,            , 0.8571428571428571, 0.7419354838709677, 0.7692307692307693,           , -0.18372319688109162, 0.032163742690058394 , 0.021442495126705707,            , -0.052631578947368474, 0.0643274853801169  , 0.005847953216374324,            , 0.023040908167089917  , 0.0006126721231172233, 0.00020826149370774304,                 ,      0.28,               0.27,                  ,           0.67,             0.68, 
eq15          ,             0.1, 0.819672131147541 , 0.7868852459016393, 0.7868852459016393,            , 0.8450704225352113, 0.8169014084507042, 0.7936507936507936,           , -0.2972527472527472 , -0.04450549450549446 , 0.07765567765567771 ,            , -0.023076923076923106, 0.05384615384615388 , 0.10769230769230775 ,            , 0.047897058868260775  , 0.0004201827826394562, 0.004540242102746318  ,                 ,      0.14,               0.15,                  ,           0.69,             0.73, 
eq15          ,             0.1, 0.8852459016393442, 0.8360655737704918, 0.8688524590163934,            , 0.8923076923076924, 0.8214285714285714, 0.8666666666666667,           , -0.13428571428571434, -0.07333333333333336 , -0.02238095238095239,            , 0.0                  , -0.12380952380952381, -0.06190476190476191,            , 0.015763613876529633  , 0.00499575417166456  , 0.0007162243686999936 ,                 ,      0.14,               0.17,                  ,           0.7 ,             0.75, 
