fairness_lambda, num_comp_pairs_eval, Acc_lr, Acc_unweight, Acc_weighted, Acc_fairreg, F1_lr             , F1_unweight       , F1_weighted       , F1_fairreg, AOD_lr             , AOD_unweight        , AOD_weighted         , AOD_fairreg, EOD_lr                , EOD_unweight         , EOD_weighted        , EOD_fairreg, I_sep_lr             , I_sep_bi              , I_sep_weighted_bi     , I_sep_fairreg_bi, violate_r, violate_r_weighted, violate_r_fairreg, violate_comp_r, violate_comp_r_w, violate_comp_r_fairreg
            0.1,                  20,  0.735,        0.65 ,        0.66 ,            , 0.8262295081967214, 0.7388059701492538, 0.7481481481481481,           , 0.0740092165898617 , 0.08253456221198158 , 0.13247311827956987  ,            , 0.026666666666666616  , 0.1266666666666666   , 0.1466666666666666  ,            , 0.002027291282613699 , 0.0051979283602937324 , 0.00979999857096009   ,                 ,      0.08,               0.21,                  ,           0.51,             0.48, 
            0.1,                  20,  0.765,        0.69 ,        0.665,            , 0.8373702422145328, 0.7753623188405797, 0.7432950191570882,           , 0.0865186615186615 , 0.002586872586872513, 0.010379665379665504 ,            , -0.0071428571428571175, 0.02190476190476187  , 0.023333333333333317,            , 0.0017538127513913593, 5.120340223339218e-05 , 0.00011267760319598171,                 ,      0.01,               0.0 ,                  ,           0.67,             0.58, 
            0.1,                  20,  0.73 ,        0.69 ,        0.725,            , 0.8235294117647058, 0.7686567164179104, 0.8028673835125448,           , 0.07479144859961306, -0.07088130808513338, -0.06937942081390558 ,            , 0.005138452754781642  , 0.1304596060519555   , -0.07764773051670004,            , 0.0018501974096071364, 3.3745265568845726e-05, 0.0025085102531454736 ,                 ,      0.36,               0.11,                  ,           0.79,             0.8 , 
            0.1,                  20,  0.76 ,        0.665,        0.68 ,            , 0.8356164383561644, 0.7545787545787546, 0.7538461538461538,           , 0.2588127053141682 , 0.14895040058497777 , 0.07641709877739206  ,            , 0.15877373598718825   , 0.08258979638526653  , -0.06726149622512012,            , 0.03712115341525282  , 0.008229026095638515  , 0.0002388369727714996 ,                 ,      0.21,               0.25,                  ,           0.58,             0.63, 
            0.1,                  20,  0.745,        0.67 ,        0.725,            , 0.8327868852459016, 0.7401574803149606, 0.7955390334572491,           , 0.0586107129984037 , 0.13138184205557746 , 0.158041775372891    ,            , 0.015928322548531604  , 0.19810851169736188  , 0.12319561971129911 ,            , 0.0018169704429993575, 0.011679706747413256  , 0.01242595348782669   ,                 ,      0.31,               0.34,                  ,           0.65,             0.64, 
            0.1,                  20,  0.715,        0.7  ,        0.65 ,            , 0.8080808080808081, 0.7709923664122137, 0.7265625         ,           , 0.0849412423880509 , 0.015359549402102601, 0.09647306881349438  ,            , 0.006819421713038731  , 0.05864702673213307  , 0.046099290780141855,            , 0.003537633983322452 , 0.0003716816481258557 , 0.003501475541943946  ,                 ,      0.03,               0.14,                  ,           0.59,             0.53, 
            0.1,                  20,  0.715,        0.625,        0.605,            , 0.8106312292358804, 0.7272727272727273, 0.7063197026022305,           , 0.19881244329461656, 0.13567296377143578 , 0.06239950234007963  ,            , 0.1332138590203107    , 0.17861409796893668  , 0.1323178016726403  ,            , 0.021291474932812266 , 0.009650589170199463  , 0.002860697441757569  ,                 ,      0.19,               0.09,                  ,           0.7 ,             0.68, 
            0.1,                  20,  0.705,        0.655,        0.685,            , 0.7915194346289752, 0.7272727272727273, 0.7567567567567568,           , 0.04083416583416588, 0.023871961371961348, 0.04495504495504499  ,            , 0.006493506493506551  , -0.044913419913419905, 0.058441558441558406,            , 0.0006868310080585003, 1.4246652480841741e-05, 0.0012788155093404268 ,                 ,      0.1 ,               0.02,                  ,           0.58,             0.62, 
            0.1,                  20,  0.705,        0.66 ,        0.64 ,            , 0.7986348122866894, 0.7384615384615385, 0.7096774193548387,           , 0.2074915771807847 , 0.20473530494792597 , -0.006661397505446032,            , 0.21730873575691811   , 0.14731416169289202  , -0.04503526858383078,            , 0.03111236581322145  , 0.01704198217450299   , 0.0001531531902267618 ,                 ,      0.42,               0.05,                  ,           0.64,             0.59, 
            0.1,                  20,  0.72 ,        0.685,        0.695,            , 0.8169934640522876, 0.7604562737642585, 0.7749077490774908,           , 0.04988966318234611, 0.016750871080139285, 0.11899825783972118  ,            , 0.08073170731707324   , 0.03707317073170724  , 0.1558536585365854  ,            , 0.002933288007640531 , 0.00028414080523500086, 0.009187946465238312  ,                 ,      0.0 ,               0.1 ,                  ,           0.54,             0.58, 
