fairness_lambda, num_comp_pairs_eval, Acc_lr            , Acc_unweight      , Acc_weighted      , Acc_fairreg, F1_lr             , F1_unweight       , F1_weighted       , F1_fairreg, AOD_lr              , AOD_unweight        , AOD_weighted        , AOD_fairreg, EOD_lr              , EOD_unweight        , EOD_weighted         , EOD_fairreg, I_sep_lr              , I_sep_bi             , I_sep_weighted_bi    , I_sep_fairreg_bi, violate_r, violate_r_weighted, violate_r_fairreg, violate_comp_r, violate_comp_r_w, violate_comp_r_fairreg
            0.1,                   4, 0.8360655737704918, 0.819672131147541 , 0.8032786885245902,            , 0.8529411764705882, 0.8307692307692308, 0.8064516129032258,           , -0.3094017094017094 , -0.3010683760683761 , -0.07275641025641028,            , -0.4444444444444444 , -0.36111111111111105, -0.125               ,            , 0.08298517841469094   , 0.07201723695693264  , 0.003615310375250167 ,                 ,      0.39,               0.11,                  ,           0.85,             0.7 , 
            0.1,                   4, 0.9016393442622951, 0.7704918032786885, 0.7868852459016393,            , 0.9032258064516129, 0.78125           , 0.8               ,           , -0.2470238095238096 , -0.18452380952380953, -0.04365079365079372,            , -0.24404761904761907, -0.11904761904761907, 0.023809523809523725 ,            , 0.07705938591479876   , 0.02263279327865934  , 0.0017762334717911544,                 ,      0.26,               0.17,                  ,           0.65,             0.62, 
            0.1,                   4, 0.8688524590163934, 0.8360655737704918, 0.8852459016393442,            , 0.8666666666666667, 0.8387096774193549, 0.8888888888888888,           , -0.22619047619047616, -0.35119047619047616, -0.3125             ,            , -0.375              , -0.375              , -0.25                ,            , 0.06845944936247207   , 0.11713078778348006  , 0.11402380894856073  ,                 ,      0.61,               0.49,                  ,           0.84,             0.84, 
            0.1,                   4, 0.8524590163934426, 0.8032786885245902, 0.8032786885245902,            , 0.8571428571428571, 0.7777777777777778, 0.8064516129032258,           , 0.01773226773226777 , -0.17874772286536994, -0.16039842510430746,            , -0.09090909090909094, -0.1871657754010695 , -0.12299465240641705 ,            , 4.710063270048115e-05 , 0.02114736089876748  , 0.01652723632174627  ,                 ,      0.16,               0.19,                  ,           0.81,             0.79, 
            0.1,                   4, 0.8360655737704918, 0.7868852459016393, 0.7704918032786885,            , 0.8611111111111112, 0.8115942028985508, 0.7878787878787878,           , -0.20233918128654976, -0.08421052631578951, -0.20497076023391814,            , -0.3157894736842105 , -0.2573099415204678 , -0.2543859649122807  ,            , 0.04937771109141813   , 0.011835622430633632 , 0.035003213874242614 ,                 ,      0.3 ,               0.25,                  ,           0.77,             0.75, 
            0.1,                   4, 0.8360655737704918, 0.7540983606557377, 0.8032786885245902,            , 0.868421052631579 , 0.7619047619047619, 0.8235294117647058,           , -0.24141483516483508, -0.2006593406593406 , -0.17670329670329676,            , -0.3846153846153846 , -0.2584615384615384 , -0.06769230769230772 ,            , 0.06855092099595536   , 0.0331862859569346   , 0.015980228194324216 ,                 ,      0.21,               0.2 ,                  ,           0.73,             0.8 , 
            0.1,                   4, 0.9016393442622951, 0.8524590163934426, 0.9016393442622951,            , 0.9117647058823529, 0.8571428571428571, 0.90625           ,           , 0.00977740794674431 , -0.06396921156646557, -0.06656958602038693,            , -0.13833992094861658, -0.23320158102766797, -0.18577075098814222 ,            , 0.00013985274633318903, 0.006786084799722634 , 0.00870643147343794  ,                 ,      0.11,               0.04,                  ,           0.82,             0.88, 
            0.1,                   4, 0.819672131147541 , 0.7704918032786885, 0.7540983606557377,            , 0.8493150684931506, 0.7878787878787878, 0.7457627118644068,           , 0.030934343434343425, -0.27588383838383845, -0.1856060606060606 ,            , 0.03409090909090906 , -0.28787878787878796, -0.12121212121212122 ,            , 0.000746230909159577  , 0.04940335252192653  , 0.02058280038175272  ,                 ,      0.29,               0.23,                  ,           0.72,             0.74, 
            0.1,                   4, 0.7704918032786885, 0.7704918032786885, 0.8032786885245902,            , 0.8205128205128205, 0.8055555555555556, 0.8421052631578947,           , -0.18096712369158197, -0.04266794437073074, 0.01761757334512748 ,            , -0.12383900928792568, -0.07739938080495357, -0.012383900928792602,            , 0.020354409962751497  , 0.0018056716423195099, 6.590139045806932e-05,                 ,      0.2 ,               0.18,                  ,           0.76,             0.76, 
            0.1,                   4, 0.8032786885245902, 0.8360655737704918, 0.8360655737704918,            , 0.8285714285714286, 0.8529411764705882, 0.8571428571428571,           , -0.05364372469635631, -0.10627530364372473, -0.2768218623481782 ,            , -0.29807692307692313, -0.29807692307692313, -0.33653846153846156 ,            , 0.0025362878916797018 , 0.009278757555584926 , 0.059284887533094584 ,                 ,      0.2 ,               0.23,                  ,           0.84,             0.87, 
